lat,lon,frp
-12.0554,-57.899,68.5
-12.0945,-54.6113,128.3
-12.0948,-54.5908,90.8
-12.2186,-60.4232,69.6
-13.2832,-62.0033,60.8
-13.3218,-61.9426,57.9
-13.3216,-61.962,42.3
-13.3028,-61.9439,63.1
-13.3026,-61.9633,137.7
-13.3024,-61.9826,136.8
-13.2836,-61.9645,120.9
-13.2834,-61.9839,141.5
-2.3197,-47.9902,57.5
-2.3012,-47.9906,35.4
-2.7133,-51.7974,81.2
-2.9677,-47.9282,69.5
-4.2429,-48.5474,125.6
-4.2613,-48.5681,141.7
-4.2614,-48.5465,180.6
-4.2427,-48.5689,115.2
-4.6476,-46.2095,52.5
-4.6478,-46.1872,64.1
-4.8041,-47.828,234.2
-4.8039,-47.8498,201.6
-4.8225,-47.8488,49.8
-4.8227,-47.827,56.7
-4.9497,-48.2754,48.1
-8.7601,-66.618,78.8
-8.7602,-66.5995,75.8
-8.9969,-63.5419,46.6
-11.6786,-54.5484,137.2
-11.6788,-54.528,80.1
-11.9744,-56.6885,76.6
-12.0756,-54.6131,83.5
-12.0365,-57.9005,78.6
-12.0363,-57.9203,86.9
-12.0945,-54.6113,95.1
-12.0948,-54.5908,69.6
-12.0552,-57.9188,58.3
-13.2834,-61.9839,139.6
-13.3024,-61.9826,137.4
-13.3022,-62.002,58
-13.2836,-61.9645,123.9
-13.2832,-62.0033,63.6
-13.3218,-61.9426,60.9
-13.3028,-61.9439,68
-13.3026,-61.9633,158
-5.09626,-45.8664,10.9
-4.35815,-46.55309,9.6
-4.06773,-47.59762,9.6
-3.70061,-47.60629,6.1
-3.62809,-47.36671,16.7
-3.62668,-47.35697,11.2
-3.62178,-47.36337,28.9
-4.81211,-47.84599,80.3
-4.81077,-47.83669,239.2
-4.80301,-47.8473,88.8
-4.80167,-47.83799,158.2
-4.39825,-50.87339,14
-4.27602,-51.1179,12.8
-4.2368,-51.09032,5.4
-4.23543,-51.08059,6.3
-4.06022,-50.88732,13.9
-5.04167,-51.93834,4.6
-6.58858,-52.51261,7.3
-10.66791,-53.71651,11.1
-10.66574,-53.69871,11.3
-11.81057,-52.51116,23.5
-11.8087,-52.49618,31.4
-11.27864,-52.833,10.7
-6.01061,-53.24316,14.4
-6.00883,-53.22958,9.1
-6.00656,-53.23623,8.7
-8.56481,-54.63582,32.1
-8.56166,-54.8212,15.1
-8.50283,-54.76863,15.7
-8.50041,-54.74903,14.1
-8.49,-54.77026,18
-9.98344,-53.88787,11.9
-9.8712,-54.86387,15
-9.72204,-54.61422,56.7
-9.71955,-54.59427,21.4
-10.70669,-53.9314,19.5
-10.69428,-53.93298,18.9
-12.09176,-54.6148,102.7
-12.08915,-54.59291,44.7
-12.07835,-54.61644,32.9
-6.33089,-55.81739,14.6
-6.32547,-55.8114,20.5
-6.31739,-55.81896,13.8
-7.88258,-54.91677,16.5
-7.8819,-54.91038,16.8
-8.0956,-54.95161,28.1
-11.98826,-56.71139,26.7
-11.98461,-56.67952,32
-11.9824,-56.70663,62.8
-11.97897,-56.67462,33.8
-11.97249,-56.71321,23.5
-11.96885,-56.6811,34.7
-11.9531,-56.68276,51.7
-11.94951,-56.65076,65.1
-10.09247,-57.81902,27.9
-4.94934,-48.29373,8.5
-4.94807,-48.28477,126.6
-4.9468,-48.27568,19.9
-4.9391,-48.28603,45.5
-4.93783,-48.27701,8.9
-4.86851,-48.6322,17.5
-4.82853,-48.74438,5
-4.66467,-48.88904,5.9
-4.04689,-48.94148,7
-4.04564,-48.93259,35
-3.75897,-49.06149,5.7
-3.75132,-49.07164,7.5
-3.75008,-49.06276,11.1
-4.50503,-47.81974,12.4
-4.45103,-48.15456,12.8
-4.44974,-48.1454,9.2
-4.34108,-48.35318,7.4
-4.2952,-48.61424,4.5
-4.28627,-48.61552,4.3
-4.28499,-48.60654,8
-4.26074,-48.56419,75.1
-4.25946,-48.55522,242.1
-4.25819,-48.54625,14
-4.38431,-46.10297,5.3
-4.44113,-46.07183,24.3
-4.25053,-48.56275,71.4
-4.24927,-48.55377,91.9
-4.19441,-48.22879,5
-4.01555,-48.39673,6.7
-5.09084,-49.3013,23.9
-5.08959,-49.29243,7.9
-7.88561,-49.27028,10.5
-7.88436,-49.2612,6
-8.80388,-49.65784,31.1
-4.45116,-46.0704,19
-8.32128,-49.96799,8
-8.04211,-49.67163,6.1
-8.04083,-49.66234,40.2
-8.03179,-49.66364,16.6
-8.01495,-49.6755,18.7
-4.45191,-46.07546,9.2
-4.65552,-46.20613,45.9
-4.65387,-46.195,61.2
-4.65367,-46.20126,69.6
-4.65209,-46.19009,7.9
-5.46831,-46.09752,12.8
-5.46788,-46.10359,10.7
-4.45021,-46.06404,13.1
-5.09994,-46.09808,10.8
-5.09827,-46.09258,9.2
-4.88863,-49.49628,4.6
-4.27434,-50.70124,3.6
-4.27303,-50.69193,5.3
-4.17024,-50.15455,8.1
-3.87792,-49.3816,8.6
-5.68193,-51.10133,5
-7.61088,-50.21019,7.7
-6.75081,-50.52215,6.4
-8.43178,-50.22745,4.4
-5.09794,-45.87783,26.9
-3.12899,-50.27745,4.8
-2.80517,-54.47309,10.8
-3.07501,-50.41956,14.6
-2.70081,-54.62348,8.3
-2.69809,-54.61761,6.9
1.19295,-50.71967,4.2
-3.45046,-50.47148,4.9
-2.63803,-49.01322,5.3
-3.4492,-50.46238,5.7
-4.4112,-54.83245,8.6
-2.51292,-49.03701,4.1
-3.1273,-50.59721,9.5
-2.51167,-49.02808,4.5
-2.50274,-49.02935,6.2
-2.87315,-51.48154,43
-2.44658,-48.56745,5.8
1.36138,-50.63867,5.4
-3.13127,-50.35967,4.4
-2.37847,-47.88821,4.4
-2.31047,-47.99259,74
-2.30912,-47.98299,54.7
-2.46977,-47.09296,5.5
-2.8718,-51.47181,4.5
-3.07626,-50.42857,3.5
-3.38856,-53.79626,12.4
-3.31185,-54.9187,8.9
-3.06885,-54.88719,26.5
-2.88245,-51.48021,6.5
-2.80726,-54.48837,14
-2.91697,-50.27976,6.9
-3.34636,-50.18873,9.2
-2.71393,-51.79816,41.2
-2.71532,-51.8082,28
-3.11829,-50.5985,13
-2.62465,-47.02609,7
-3.11701,-50.58936,13.4
-2.08117,-47.08694,7.4
-3.11032,-51.00169,5.6
-2.49381,-49.03063,4.3
-3.10932,-51.26276,14.6
-2.46026,-49.12359,3.6
-3.10928,-50.59981,5.4
-3.108,-50.59065,7
-3.10798,-51.25314,8.8
-3.18177,-52.09548,8
-3.1894,-50.71328,20.4
-3.19067,-50.72248,6.8
-3.1025,-51.01235,24
-3.10118,-51.00296,9.5
-1.35713,-47.68978,7.1
-3.32549,-48.85702,5.4
-3.10009,-51.26407,7
-3.09876,-51.25449,12.5
-3.20506,-50.62689,10.6
-2.42128,-49.30741,14.1
-3.23494,-48.80286,4.2
-3.54191,-50.86264,5.7
-3.13406,-48.74103,4.5
-3.54321,-50.87196,32.8
-3.28547,-50.07875,3.6
-3.06683,-48.06718,3.4
-3.06551,-48.0578,3.5
-3.05608,-47.92399,4
-3.0435,-47.78281,5.7
-1.95956,-50.61056,4.3
-2.97199,-47.92652,87.8
-2.97062,-47.91698,37.2
-3.25841,-50.61302,8.2
-3.38803,-51.60015,25.2
-3.38943,-51.61015,14.2
-2.96544,-47.93338,16.6
-2.96411,-47.92384,69.6
-2.94644,-48.58641,7.5
-3.28423,-50.06983,3.9
-2.7045,-51.7995,18.4
-3.96069,-52.17186,6.1
-3.89821,-51.93042,6.7
-2.81714,-48.45259,11.3
-3.89554,-51.93659,9.8
2.66387,-51.33081,5.1
-3.89226,-51.81428,5.8
-2.07385,-52.07052,6.3
-2.57868,-48.39566,19.3
-2.52899,-48.10419,5.1
-2.52767,-48.09475,9.4
-2.51613,-47.42292,8.5
-2.4556,-48.56616,8.1
-3.27929,-50.4985,12.6
-1.42616,-48.9072,4.2
-1.42489,-48.89813,5.4
-2.04393,-52.06433,8
-2.70589,-51.80954,13.9
-3.87281,-52.20101,8.6
-3.34761,-50.19767,18.8
-3.86841,-51.81289,5.3
-3.85166,-51.7627,9.2
-3.80388,-51.42019,11.2
-3.13276,-49.25676,4.4
-3.09912,-50.52692,5.4
0.67412,-50.67272,5.1
-3.45329,-50.3601,5.5
1.36014,-50.6475,14.7
-1.71767,-53.74768,12
-3.10377,-49.17947,7.8
-4.2613,-48.5681,70.5
-4.2614,-48.5465,93.1
-4.6663,-46.2084,55.2
-4.8227,-47.827,53.1
-4.8039,-47.8498,73.9
-4.8041,-47.828,78.6
-4.9497,-48.2754,79.1
-4.9311,-48.2764,49.2
-4.9495,-48.297,53.7
-8.7417,-66.6,71.4
-8.7601,-66.618,68.1
-8.7602,-66.5995,74.7
-8.7786,-66.6175,68.7
-13.3218,-61.9426,62.3
-13.283,-62.0227,150.7
-13.2832,-62.0033,166.6
-13.2834,-61.9839,171.2
-13.2836,-61.9645,125.4
-13.302,-62.0214,61.6
-13.3022,-62.002,117.7
-13.3024,-61.9826,390.5
-13.3216,-61.962,277.2
-13.3214,-61.9814,257.3
-13.3028,-61.9439,79.3
-13.3026,-61.9633,418.1
-10.8916,-68.39394,14.9
-8.75193,-66.59459,43.3
-9.10454,-67.85361,9.7
-9.13018,-67.94465,9.4
-13.2899,-61.96449,180.9
-9.49559,-66.73756,15.4
-9.1276,-67.93941,12.8
-13.29223,-62.00758,141.7
-9.70068,-65.6216,14.8
-8.75079,-66.5891,22.9
-8.75399,-66.60885,108.4
-8.75498,-66.61434,52.1
-8.76677,-66.60669,40.7
-9.0341,-67.5527,19.1
-8.76993,-66.6263,54.5
-9.50899,-67.49531,17
-9.50646,-67.47899,20.4
-13.30219,-61.96696,116.8
-13.28555,-61.97037,196.9
-8.8074,-66.77895,20.4
-9.4024,-66.55759,13.5
-13.2802,-62.00492,112.5
-13.29682,-62.00167,169
-13.27562,-62.01088,127.9
-9.38577,-63.66986,23.4
-8.59031,-66.98702,13.2
-8.59321,-67.00552,14.4
-7.96994,-70.9388,8.9
-8.39108,-70.5362,6.4
-8.39263,-70.5468,6.7
-7.96047,-70.94021,5.5
-8.01835,-70.90433,6
-8.30796,-72.77557,19.1
-8.05475,-70.88842,6.8
-8.39095,-72.71178,5.1
-8.30923,-72.78453,12.9
-8.39986,-72.71048,12.8
-8.32066,-72.80114,3.7
-8.56142,-70.5089,13.2
-8.9774,-71.27303,5.2
-7.92353,-71.56337,7.5
-8.3194,-72.79218,3.5
-4.80774,-47.83903,29.5
-2.96951,-47.92781,15.7
-5.09727,-45.87702,3.5
-5.09809,-45.87235,3.9
-5.10408,-45.87368,1
-3.61848,-47.36578,1.6
-3.95467,-45.51422,2.3
-3.95543,-45.50982,2.1
-4.64936,-46.20044,10.7
-4.65173,-46.19978,12.9
-4.65563,-46.20118,10.7
-2.62789,-47.02893,2.1
-4.65651,-46.19623,10.7
-4.65798,-46.20061,22
-2.97262,-47.92799,2.9
-4.8006,-47.83873,22.7
-4.79971,-47.84443,6.3
-4.01784,-47.70602,2.7
-4.24493,-48.56016,3.2
-4.25106,-48.55621,11.1
-3.62523,-47.36705,1.6
-4.25944,-48.55055,5
-4.26046,-48.55615,13.6
-4.80749,-47.83964,22.7
-4.4475,-48.14927,2.2
-4.45449,-48.15048,2.2
-4.50654,-47.82026,1.3
-4.50767,-47.81396,1.3
-4.86492,-48.63634,3.8
-4.86616,-48.62934,3.4
-4.86739,-48.63514,3.1
