lat;lon;frp
-8907700;-66725400;58.4
-8907800;-66706900;118.9
-8907900;-66688300;64.5
-8926300;-66706400;95.7
-8926400;-66687800;57.1
-8947600;-62446400;64.9
-8948100;-62370400;60.0
-8966500;-62388600;95.5
-8966600;-62369600;96.2
-9040800;-65884200;95.8
-9040900;-65865500;75.3
-9059300;-65902300;47.4
-9059400;-65883600;109.1
-9059500;-65865000;91.3
-9153200;-59522100;50.6
-9135000;-65545300;49.4
-9191400;-59384300;69.5
-9199100;-60889000;80.1
-9189500;-65786300;67.5
-9189600;-65767600;51.8
-9217700;-60888100;161.2
-9217800;-60868900;56.0
-9208100;-65785700;70.9
-9208100;-65767000;60.0
-9350000;-63452400;95.0
-9406200;-60532600;57.1
-9537800;-66726200;52.2
-9556300;-66725600;66.5
-9556400;-66707000;50.2
-9673700;-53659200;56.9
-9673900;-53638700;83.7
-9675000;-53536100;47.1
-9692500;-53657700;102.6
-9692700;-53637200;86.7
-9683500;-58459300;56.5
-9702200;-58458200;53.4
-9779300;-63169500;119.0
-9779400;-63150500;90.2
-9797900;-63168600;129.9
-9798100;-63149700;81.0
-10621200;-54601600;54.1
-10621500;-54581200;69.6
-10909300;-54127600;61.7
-10909500;-54107100;48.9
-10928200;-54125900;44.8
-13239800;-54371600;46.4
-3076100;-59432600;95.1
-3076200;-59413400;163.8
-3094400;-59413100;65.1
-4301200;-48091700;53.3
-5116600;-48309500;49.2
-5124000;-60282500;49.1
-5234800;-60107500;58.4
-5307800;-60200800;54.3
-6429800;-60049100;70.1
-6710000;-59346700;64.4
-6710100;-59327400;97.7
-6710200;-59308100;81.2
-6728400;-59346000;79.1
-6728500;-59326700;77.4
-6728600;-59307400;76.8
-7023400;-62933100;51.3
-7041800;-62932500;82.3
-7098100;-59234300;78.0
-7182000;-60690400;80.4
-7182200;-60671300;77.3
-7200500;-60689700;89.7
-7200600;-60670600;78.8
-7311600;-60628000;72.8
-7403900;-64346900;54.6
-7422300;-64346400;88.1
-7422400;-64327700;61.0
-7993600;-49658500;54.1
-8408500;-62752400;94.9
-8408600;-62733500;78.7
-8427000;-62751700;307.1
-8427100;-62732700;217.7
-8503300;-54822200;69.4
-8631700;-62573200;98.0
-8650200;-62572400;111.8
-8854800;-62450300;66.8
-8855000;-62431300;58.9
-8873500;-62430500;53.8
-8873600;-62411500;90.9
-8873700;-62392500;66.6
-8892100;-62429700;51.4
-8892200;-62410700;82.6
-8907700;-66725400;65.8
-8907800;-66706900;138.1
-8907900;-66688300;66.2
-8926300;-66706400;68.0
-8947600;-62446400;56.9
-8948100;-62370400;58.8
-8966500;-62388600;96.0
-8966600;-62369600;90.3
-9040800;-65902800;50.0
-9040800;-65884200;102.6
-9040900;-65865500;76.7
-9059300;-65902300;48.2
-9059400;-65883600;109.6
-9059500;-65865000;92.2
-9121500;-61371700;51.7
-9121600;-61352600;53.9
-9153200;-59522100;49.8
-9191400;-59384300;65.2
-9189500;-65786300;62.5
-9189600;-65767600;49.9
-9217700;-60888100;163.0
-9217800;-60868900;52.0
-9208100;-65785700;65.1
-9208100;-65767000;54.4
-9326700;-64301600;62.4
-9350000;-63452400;76.6
-9406200;-60532600;58.0
-9556300;-66725600;58.7
-9673700;-53659200;56.5
-9673900;-53638700;86.3
-9692500;-53657700;94.0
-9692700;-53637200;74.7
-9683500;-58459300;53.0
-9702200;-58458200;54.7
-9779300;-63169500;112.1
-9779400;-63150500;84.6
-9797900;-63168600;121.8
-9798100;-63149700;88.8
-10621500;-54581200;52.0
-10909300;-54127600;58.4
-10909500;-54107100;43.7
-10928200;-54125900;37.3
-13239800;-54371600;43.5
-3076100;-59432600;113.3
-3076200;-59413400;158.6
-5116600;-48309500;36.1
-5234800;-60107500;58.9
-5307800;-60200800;62.7
-6429800;-60049100;80.4
-6710000;-59346700;73.8
-6710100;-59327400;105.8
-6710200;-59308100;83.2
-6728400;-59346000;63.0
-6728500;-59326700;65.7
-6728600;-59307400;78.7
-6966600;-59625200;50.4
-7041800;-62932500;119.1
-7041900;-62913700;45.0
-7098100;-59234300;60.0
-7182000;-60690400;63.8
-7182200;-60671300;60.2
-7200500;-60689700;104.2
-7200600;-60670600;93.1
-7311600;-60628000;56.4
-7403900;-64346900;67.1
-7422300;-64346400;68.0
-7422400;-64327700;51.9
-8371300;-62791600;53.1
-8408500;-62752400;79.5
-8408600;-62733500;55.4
-8426900;-62770600;45.6
-8427000;-62751700;217.1
-8427100;-62732700;99.8
-8503300;-54822200;69.2
-8631700;-62573200;116.2
-8650200;-62572400;69.3
-8854800;-62450300;51.2
-8855000;-62431300;56.9
-8873500;-62430500;54.9
-8873600;-62411500;88.5
-8873700;-62392500;60.3
-8892100;-62429700;47.8
-8892200;-62410700;68.0
-8907700;-66725400;48.6
-8907800;-66706900;107.8
-8907900;-66688300;51.8
-8929100;-62447100;43.5
-8926300;-66706400;91.9
-8947600;-62446400;55.7
-8948100;-62370400;58.6
-8966500;-62388600;69.8
-8966600;-62369600;75.1
-9040800;-65902800;47.4
-9040800;-65884200;103.0
-9040900;-65865500;77.3
-9059400;-65883600;104.0
-9059500;-65865000;81.9
-9191400;-59384300;57.1
-9189500;-65786300;57.7
-9189600;-65767600;47.9
-9217700;-60888100;136.0
-9208100;-65785700;61.3
-9208100;-65767000;54.4
-9350000;-63452400;85.6
-9406200;-60532600;51.4
-9556300;-66725600;59.4
-9673700;-53659200;53.0
-9673900;-53638700;76.3
-9692500;-53657700;78.3
-9692700;-53637200;78.4
-9683500;-58459300;57.1
-9702200;-58458200;52.3
-9779300;-63169500;91.0
-9779400;-63150500;62.2
-9797900;-63168600;136.2
-9798100;-63149700;97.1
-10621500;-54581200;64.5
-10909300;-54127600;62.1
-10909500;-54107100;50.4
-3076100;-59432600;107.4
-3076200;-59413400;166.1
-5098000;-48310600;37.6
-5116600;-48309500;53.5
-5234800;-60107500;60.7
-5307800;-60200800;59.8
-6429800;-60049100;68.4
-6710000;-59346700;67.5
-6710100;-59327400;103.2
-6710200;-59308100;80.8
-6728400;-59346000;63.0
-6728500;-59326700;64.7
-6728600;-59307400;76.9
-7041800;-62932500;116.7
-7098100;-59234300;58.0
-7182000;-60690400;70.9
-7182200;-60671300;63.5
-7200500;-60689700;87.9
-7200600;-60670600;74.2
-7311600;-60628000;57.8
-7403900;-64346900;54.7
-7422300;-64346400;66.6
-7422400;-64327700;47.1
-8427000;-62751700;194.1
-8427100;-62732700;75.8
-8503300;-54822200;71.8
-8631700;-62573200;107.8
